JSON,ALGORITHM,QUERY_ID,QUERY_TEXT,AVERAGE_TIME
bestbuy_large_record_(1GB),SERDE,1,$.products[4].categoryPath[2],0.00000
bestbuy_large_record_(1GB),rq-legacy,1,$.products[4].categoryPath[2],0.18134
bestbuy_large_record_(1GB),rq-lut-cutoff-0,1,$.products[4].categoryPath[2],0.04949
bestbuy_large_record_(1GB),rq-lut-cutoff-512,1,$.products[4].categoryPath[2],0.04947
bestbuy_large_record_(1GB),SERDE,2,$.products[*].categoryPath[2],0.18657
bestbuy_large_record_(1GB),rq-legacy,2,$.products[*].categoryPath[2],0.35432
bestbuy_large_record_(1GB),rq-lut-cutoff-0,2,$.products[*].categoryPath[2],0.35431
bestbuy_large_record_(1GB),rq-lut-cutoff-512,2,$.products[*].categoryPath[2],0.29413
bestbuy_large_record_(1GB),SERDE,3,$.products[*].quantityLimit,0.11201
bestbuy_large_record_(1GB),rq-legacy,3,$.products[*].quantityLimit,0.51336
bestbuy_large_record_(1GB),rq-lut-cutoff-0,3,$.products[*].quantityLimit,0.42419
bestbuy_large_record_(1GB),rq-lut-cutoff-512,3,$.products[*].quantityLimit,0.41159
bestbuy_large_record_(1GB),SERDE,4,$.products[*].frequentlyPurchasedWith[*],0.15133
bestbuy_large_record_(1GB),rq-legacy,4,$.products[*].frequentlyPurchasedWith[*],0.35042
bestbuy_large_record_(1GB),rq-lut-cutoff-0,4,$.products[*].frequentlyPurchasedWith[*],0.29667
bestbuy_large_record_(1GB),rq-lut-cutoff-512,4,$.products[*].frequentlyPurchasedWith[*],0.24410
bestbuy_large_record_(1GB),SERDE,5,$.products[*].includedItemList[*],0.19382
bestbuy_large_record_(1GB),rq-legacy,5,$.products[*].includedItemList[*],0.36668
bestbuy_large_record_(1GB),rq-lut-cutoff-0,5,$.products[*].includedItemList[*],0.30676
bestbuy_large_record_(1GB),rq-lut-cutoff-512,5,$.products[*].includedItemList[*],0.25130
bestbuy_large_record_(1GB),SERDE,6,$.products[*].homeDelivery,0.13398
bestbuy_large_record_(1GB),rq-legacy,6,$.products[*].homeDelivery,0.81235
bestbuy_large_record_(1GB),rq-lut-cutoff-0,6,$.products[*].homeDelivery,0.69360
bestbuy_large_record_(1GB),rq-lut-cutoff-512,6,$.products[*].homeDelivery,0.67322
bestbuy_large_record_(1GB),SERDE,7,$.products[*].freeShipping,0.12311
bestbuy_large_record_(1GB),rq-legacy,7,$.products[*].freeShipping,0.93034
bestbuy_large_record_(1GB),rq-lut-cutoff-0,7,$.products[*].freeShipping,0.80662
bestbuy_large_record_(1GB),rq-lut-cutoff-512,7,$.products[*].freeShipping,0.78179
bestbuy_large_record_(1GB),SERDE,8,$.products[*].shipping[*],0.20468
bestbuy_large_record_(1GB),rq-legacy,8,$.products[*].shipping[*],0.50206
bestbuy_large_record_(1GB),rq-lut-cutoff-0,8,$.products[*].shipping[*],0.38765
bestbuy_large_record_(1GB),rq-lut-cutoff-512,8,$.products[*].shipping[*],0.34334
bestbuy_large_record_(1GB),SERDE,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.26396
bestbuy_large_record_(1GB),rq-legacy,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.61035
bestbuy_large_record_(1GB),rq-lut-cutoff-0,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.53947
bestbuy_large_record_(1GB),rq-lut-cutoff-512,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.43992
bestbuy_large_record_(1GB),SERDE,10,$.products[*].shippingLevelsOfService[*],0.14243
