JSON,ALGORITHM,QUERY_ID,QUERY_TEXT,AVERAGE_TIME
google_map_large_record_(1.1GB),SERDE,0,$[4000].routes[*].bounds,0.00000
google_map_large_record_(1.1GB),rq-legacy,0,$[4000].routes[*].bounds,0.20223
google_map_large_record_(1.1GB),rq-lut-cutoff-0,0,$[4000].routes[*].bounds,0.05353
google_map_large_record_(1.1GB),rq-lut-cutoff-512,0,$[4000].routes[*].bounds,0.05474
google_map_large_record_(1.1GB),SERDE,1,$[*].routes[*].legs[*].steps[*].html_instructions,0.47760
google_map_large_record_(1.1GB),rq-legacy,1,$[*].routes[*].legs[*].steps[*].html_instructions,0.67938
google_map_large_record_(1.1GB),rq-lut-cutoff-0,1,$[*].routes[*].legs[*].steps[*].html_instructions,0.83954
google_map_large_record_(1.1GB),rq-lut-cutoff-512,1,$[*].routes[*].legs[*].steps[*].html_instructions,0.73395
google_map_large_record_(1.1GB),SERDE,2,$[*].routes[*].legs[*].steps[*].distance.text,0.67993
google_map_large_record_(1.1GB),rq-legacy,2,$[*].routes[*].legs[*].steps[*].distance.text,0.72217
google_map_large_record_(1.1GB),rq-lut-cutoff-0,2,$[*].routes[*].legs[*].steps[*].distance.text,0.79117
google_map_large_record_(1.1GB),rq-lut-cutoff-512,2,$[*].routes[*].legs[*].steps[*].distance.text,0.75654
google_map_large_record_(1.1GB),SERDE,3,$[*].routes[*].legs[*].steps[*].distance,0.28846
google_map_large_record_(1.1GB),rq-legacy,3,$[*].routes[*].legs[*].steps[*].distance,0.70850
google_map_large_record_(1.1GB),rq-lut-cutoff-0,3,$[*].routes[*].legs[*].steps[*].distance,0.84964
google_map_large_record_(1.1GB),rq-lut-cutoff-512,3,$[*].routes[*].legs[*].steps[*].distance,0.72783
google_map_large_record_(1.1GB),SERDE,4,$[*].routes[*].legs[*].steps[*].maneuver,0.53222
google_map_large_record_(1.1GB),rq-legacy,4,$[*].routes[*].legs[*].steps[*].maneuver,0.88319
google_map_large_record_(1.1GB),rq-lut-cutoff-0,4,$[*].routes[*].legs[*].steps[*].maneuver,1.13821
google_map_large_record_(1.1GB),rq-lut-cutoff-512,4,$[*].routes[*].legs[*].steps[*].maneuver,0.91828
google_map_large_record_(1.1GB),SERDE,5,$[*].routes[*].legs[*].steps[*].start_location,0.59049
google_map_large_record_(1.1GB),rq-legacy,5,$[*].routes[*].legs[*].steps[*].start_location,0.96309
google_map_large_record_(1.1GB),rq-lut-cutoff-0,5,$[*].routes[*].legs[*].steps[*].start_location,1.22273
google_map_large_record_(1.1GB),rq-lut-cutoff-512,5,$[*].routes[*].legs[*].steps[*].start_location,0.97351
google_map_large_record_(1.1GB),SERDE,6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.99226
google_map_large_record_(1.1GB),rq-legacy,6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.84397
