JSON,ALGORITHM,QUERY_ID,QUERY_TEXT,AVERAGE_TIME
bestbuy_large_record_(1GB),SERDE,1,$.products[4].categoryPath[2],0.00000
bestbuy_large_record_(1GB),rq-legacy,1,$.products[4].categoryPath[2],0.17206
bestbuy_large_record_(1GB),rq-lut-cutoff-0,1,$.products[4].categoryPath[2],0.00945
bestbuy_large_record_(1GB),rq-lut-cutoff-512,1,$.products[4].categoryPath[2],0.00945
bestbuy_large_record_(1GB),SERDE,2,$.products[*].categoryPath[2],0.18614
bestbuy_large_record_(1GB),rq-legacy,2,$.products[*].categoryPath[2],0.31078
bestbuy_large_record_(1GB),rq-lut-cutoff-0,2,$.products[*].categoryPath[2],0.25503
bestbuy_large_record_(1GB),rq-lut-cutoff-512,2,$.products[*].categoryPath[2],0.21500
bestbuy_large_record_(1GB),SERDE,3,$.products[*].quantityLimit,0.11092
bestbuy_large_record_(1GB),rq-legacy,3,$.products[*].quantityLimit,0.44266
bestbuy_large_record_(1GB),rq-lut-cutoff-0,3,$.products[*].quantityLimit,0.32506
bestbuy_large_record_(1GB),rq-lut-cutoff-512,3,$.products[*].quantityLimit,0.31381
bestbuy_large_record_(1GB),SERDE,4,$.products[*].frequentlyPurchasedWith[*],0.15102
bestbuy_large_record_(1GB),rq-legacy,4,$.products[*].frequentlyPurchasedWith[*],0.33274
bestbuy_large_record_(1GB),rq-lut-cutoff-0,4,$.products[*].frequentlyPurchasedWith[*],0.26027
bestbuy_large_record_(1GB),rq-lut-cutoff-512,4,$.products[*].frequentlyPurchasedWith[*],0.20666
bestbuy_large_record_(1GB),SERDE,5,$.products[*].includedItemList[*],0.19318
bestbuy_large_record_(1GB),rq-legacy,5,$.products[*].includedItemList[*],0.34930
bestbuy_large_record_(1GB),rq-lut-cutoff-0,5,$.products[*].includedItemList[*],0.26667
bestbuy_large_record_(1GB),rq-lut-cutoff-512,5,$.products[*].includedItemList[*],0.21109
bestbuy_large_record_(1GB),SERDE,6,$.products[*].homeDelivery,0.13280
bestbuy_large_record_(1GB),rq-legacy,6,$.products[*].homeDelivery,0.68799
bestbuy_large_record_(1GB),rq-lut-cutoff-0,6,$.products[*].homeDelivery,0.54010
bestbuy_large_record_(1GB),rq-lut-cutoff-512,6,$.products[*].homeDelivery,0.52503
bestbuy_large_record_(1GB),SERDE,7,$.products[*].freeShipping,0.12261
bestbuy_large_record_(1GB),rq-legacy,7,$.products[*].freeShipping,0.78856
bestbuy_large_record_(1GB),rq-lut-cutoff-0,7,$.products[*].freeShipping,0.62771
bestbuy_large_record_(1GB),rq-lut-cutoff-512,7,$.products[*].freeShipping,0.61489
bestbuy_large_record_(1GB),SERDE,8,$.products[*].shipping[*],0.20361
bestbuy_large_record_(1GB),rq-legacy,8,$.products[*].shipping[*],0.45095
bestbuy_large_record_(1GB),rq-lut-cutoff-0,8,$.products[*].shipping[*],0.29585
bestbuy_large_record_(1GB),rq-lut-cutoff-512,8,$.products[*].shipping[*],0.26044
bestbuy_large_record_(1GB),SERDE,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.26324
bestbuy_large_record_(1GB),rq-legacy,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.54745
bestbuy_large_record_(1GB),rq-lut-cutoff-0,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.43592
bestbuy_large_record_(1GB),rq-lut-cutoff-512,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.34628
bestbuy_large_record_(1GB),SERDE,10,$.products[*].shippingLevelsOfService[*],0.14216
bestbuy_large_record_(1GB),rq-legacy,10,$.products[*].shippingLevelsOfService[*],0.51355
bestbuy_large_record_(1GB),rq-lut-cutoff-0,10,$.products[*].shippingLevelsOfService[*],0.36343
bestbuy_large_record_(1GB),rq-lut-cutoff-512,10,$.products[*].shippingLevelsOfService[*],0.30960
bestbuy_large_record_(1GB),SERDE,11,$.products[*].dollarSavings,0.16048
bestbuy_large_record_(1GB),rq-legacy,11,$.products[*].dollarSavings,1.12939
bestbuy_large_record_(1GB),rq-lut-cutoff-0,11,$.products[*].dollarSavings,1.00811
bestbuy_large_record_(1GB),rq-lut-cutoff-512,11,$.products[*].dollarSavings,0.93183
bestbuy_large_record_(1GB),SERDE,12,$.products[*].lengthInMinutes,0.13614
bestbuy_large_record_(1GB),rq-legacy,12,$.products[*].lengthInMinutes,1.15783
bestbuy_large_record_(1GB),rq-lut-cutoff-0,12,$.products[*].lengthInMinutes,1.04407
bestbuy_large_record_(1GB),rq-lut-cutoff-512,12,$.products[*].lengthInMinutes,0.96329
bestbuy_large_record_(1GB),SERDE,13,$.products[*].screenFormat,0.15809
bestbuy_large_record_(1GB),rq-legacy,13,$.products[*].screenFormat,1.17855
