JSON,ALGORITHM,QUERY_ID,QUERY_TEXT,AVERAGE_TIME
bestbuy_large_record_(1GB),SERDE,1,$.products[4].categoryPath[2],0.00000
bestbuy_large_record_(1GB),rq-legacy,1,$.products[4].categoryPath[2],0.12437
bestbuy_large_record_(1GB),rq-lut-cutoff-0,1,$.products[4].categoryPath[2],0.03588
bestbuy_large_record_(1GB),rq-lut-cutoff-512,1,$.products[4].categoryPath[2],0.03398
bestbuy_large_record_(1GB),SERDE,2,$.products[*].categoryPath[2],0.17355
bestbuy_large_record_(1GB),rq-legacy,2,$.products[*].categoryPath[2],0.24827
bestbuy_large_record_(1GB),rq-lut-cutoff-0,2,$.products[*].categoryPath[2],0.32459
bestbuy_large_record_(1GB),rq-lut-cutoff-512,2,$.products[*].categoryPath[2],0.23525
bestbuy_large_record_(1GB),SERDE,3,$.products[*].quantityLimit,0.11775
bestbuy_large_record_(1GB),rq-legacy,3,$.products[*].quantityLimit,0.39208
bestbuy_large_record_(1GB),rq-lut-cutoff-0,3,$.products[*].quantityLimit,0.40384
bestbuy_large_record_(1GB),rq-lut-cutoff-512,3,$.products[*].quantityLimit,0.37308
bestbuy_large_record_(1GB),SERDE,4,$.products[*].frequentlyPurchasedWith[*],0.16087
bestbuy_large_record_(1GB),rq-legacy,4,$.products[*].frequentlyPurchasedWith[*],0.24349
bestbuy_large_record_(1GB),rq-lut-cutoff-0,4,$.products[*].frequentlyPurchasedWith[*],0.26993
bestbuy_large_record_(1GB),rq-lut-cutoff-512,4,$.products[*].frequentlyPurchasedWith[*],0.23774
bestbuy_large_record_(1GB),SERDE,5,$.products[*].includedItemList[*],0.18444
bestbuy_large_record_(1GB),rq-legacy,5,$.products[*].includedItemList[*],0.26684
bestbuy_large_record_(1GB),rq-lut-cutoff-0,5,$.products[*].includedItemList[*],0.31643
bestbuy_large_record_(1GB),rq-lut-cutoff-512,5,$.products[*].includedItemList[*],0.23289
bestbuy_large_record_(1GB),SERDE,6,$.products[*].homeDelivery,0.15130
bestbuy_large_record_(1GB),rq-legacy,6,$.products[*].homeDelivery,0.65961
bestbuy_large_record_(1GB),rq-lut-cutoff-0,6,$.products[*].homeDelivery,0.62831
bestbuy_large_record_(1GB),rq-lut-cutoff-512,6,$.products[*].homeDelivery,0.56546
bestbuy_large_record_(1GB),SERDE,7,$.products[*].freeShipping,0.13886
bestbuy_large_record_(1GB),rq-legacy,7,$.products[*].freeShipping,0.82613
bestbuy_large_record_(1GB),rq-lut-cutoff-0,7,$.products[*].freeShipping,0.69191
bestbuy_large_record_(1GB),rq-lut-cutoff-512,7,$.products[*].freeShipping,0.64723
bestbuy_large_record_(1GB),SERDE,8,$.products[*].shipping[*],0.19344
bestbuy_large_record_(1GB),rq-legacy,8,$.products[*].shipping[*],0.42417
bestbuy_large_record_(1GB),rq-lut-cutoff-0,8,$.products[*].shipping[*],0.33148
bestbuy_large_record_(1GB),rq-lut-cutoff-512,8,$.products[*].shipping[*],0.28125
bestbuy_large_record_(1GB),SERDE,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.27511
bestbuy_large_record_(1GB),rq-legacy,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.43657
bestbuy_large_record_(1GB),rq-lut-cutoff-0,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.46962
bestbuy_large_record_(1GB),rq-lut-cutoff-512,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,0.35285
bestbuy_large_record_(1GB),SERDE,10,$.products[*].shippingLevelsOfService[*],0.14129
bestbuy_large_record_(1GB),rq-legacy,10,$.products[*].shippingLevelsOfService[*],0.42791
bestbuy_large_record_(1GB),rq-lut-cutoff-0,10,$.products[*].shippingLevelsOfService[*],0.55435
bestbuy_large_record_(1GB),rq-lut-cutoff-512,10,$.products[*].shippingLevelsOfService[*],0.36238
bestbuy_large_record_(1GB),SERDE,11,$.products[*].dollarSavings,0.15939
bestbuy_large_record_(1GB),rq-legacy,11,$.products[*].dollarSavings,1.02593
bestbuy_large_record_(1GB),rq-lut-cutoff-0,11,$.products[*].dollarSavings,1.15745
bestbuy_large_record_(1GB),rq-lut-cutoff-512,11,$.products[*].dollarSavings,0.92919
bestbuy_large_record_(1GB),SERDE,12,$.products[*].lengthInMinutes,0.16571
bestbuy_large_record_(1GB),rq-legacy,12,$.products[*].lengthInMinutes,1.03732
bestbuy_large_record_(1GB),rq-lut-cutoff-0,12,$.products[*].lengthInMinutes,1.12580
bestbuy_large_record_(1GB),rq-lut-cutoff-512,12,$.products[*].lengthInMinutes,0.92266
bestbuy_large_record_(1GB),SERDE,13,$.products[*].screenFormat,0.13632
bestbuy_large_record_(1GB),rq-legacy,13,$.products[*].screenFormat,1.04238
bestbuy_large_record_(1GB),rq-lut-cutoff-0,13,$.products[*].screenFormat,1.26336
bestbuy_large_record_(1GB),rq-lut-cutoff-512,13,$.products[*].screenFormat,0.94534
bestbuy_large_record_(1GB),SERDE,14,$.products[*].additionalFeatures[*],0.08410
bestbuy_large_record_(1GB),rq-legacy,14,$.products[*].additionalFeatures[*],0.46149
bestbuy_large_record_(1GB),rq-lut-cutoff-0,14,$.products[*].additionalFeatures[*],0.34409
bestbuy_large_record_(1GB),rq-lut-cutoff-512,14,$.products[*].additionalFeatures[*],0.24880
bestbuy_large_record_(1GB),SERDE,15,$.products[*].videoChapters,0.14250
bestbuy_large_record_(1GB),rq-legacy,15,$.products[*].videoChapters,1.30304
bestbuy_large_record_(1GB),rq-lut-cutoff-0,15,$.products[*].videoChapters,1.07223
bestbuy_large_record_(1GB),rq-lut-cutoff-512,15,$.products[*].videoChapters,0.95530
bestbuy_large_record_(1GB),SERDE,16,$..freeShipping,1.91559
bestbuy_large_record_(1GB),rq-legacy,16,$..freeShipping,0.11263
bestbuy_large_record_(1GB),rq-lut-cutoff-0,16,$..freeShipping,0.12069
bestbuy_large_record_(1GB),rq-lut-cutoff-512,16,$..freeShipping,0.12628
crossref1_(551MB),SERDE,1,$.items[2].resource.primary.URL,0.00000
crossref1_(551MB),rq-legacy,1,$.items[2].resource.primary.URL,0.06925
crossref1_(551MB),rq-lut-cutoff-0,1,$.items[2].resource.primary.URL,0.01782
crossref1_(551MB),rq-lut-cutoff-512,1,$.items[2].resource.primary.URL,0.01772
crossref1_(551MB),SERDE,2,$.items[*].URL,0.03622
crossref1_(551MB),rq-legacy,2,$.items[*].URL,0.08276
crossref1_(551MB),rq-lut-cutoff-0,2,$.items[*].URL,0.06533
crossref1_(551MB),rq-lut-cutoff-512,2,$.items[*].URL,0.06964
crossref1_(551MB),SERDE,3,$.items[*].member,0.04213
crossref1_(551MB),rq-legacy,3,$.items[*].member,0.08856
crossref1_(551MB),rq-lut-cutoff-0,3,$.items[*].member,0.07906
crossref1_(551MB),rq-lut-cutoff-512,3,$.items[*].member,0.06945
crossref1_(551MB),SERDE,4,$.items[*].score,0.03939
crossref1_(551MB),rq-legacy,4,$.items[*].score,0.09193
crossref1_(551MB),rq-lut-cutoff-0,4,$.items[*].score,0.08138
crossref1_(551MB),rq-lut-cutoff-512,4,$.items[*].score,0.07058
crossref1_(551MB),SERDE,5,$.items[*].resource.primary.URL,0.11018
crossref1_(551MB),rq-legacy,5,$.items[*].resource.primary.URL,0.09297
crossref1_(551MB),rq-lut-cutoff-0,5,$.items[*].resource.primary.URL,0.08197
crossref1_(551MB),rq-lut-cutoff-512,5,$.items[*].resource.primary.URL,0.07638
crossref1_(551MB),SERDE,6,$.items[*].issued,0.04173
crossref1_(551MB),rq-legacy,6,$.items[*].issued,0.11741
crossref1_(551MB),rq-lut-cutoff-0,6,$.items[*].issued,0.14063
crossref1_(551MB),rq-lut-cutoff-512,6,$.items[*].issued,0.10550
crossref1_(551MB),SERDE,7,$.items[*].author[*].given,0.11253
crossref1_(551MB),rq-legacy,7,$.items[*].author[*].given,0.15088
crossref1_(551MB),rq-lut-cutoff-0,7,$.items[*].author[*].given,0.19458
crossref1_(551MB),rq-lut-cutoff-512,7,$.items[*].author[*].given,0.13993
crossref1_(551MB),SERDE,8,$.items[*].author[*].family,0.10124
crossref1_(551MB),rq-legacy,8,$.items[*].author[*].family,0.15618
crossref1_(551MB),rq-lut-cutoff-0,8,$.items[*].author[*].family,0.20178
crossref1_(551MB),rq-lut-cutoff-512,8,$.items[*].author[*].family,0.14414
crossref1_(551MB),SERDE,9,$.items[*].author[*].sequence,0.11086
crossref1_(551MB),rq-legacy,9,$.items[*].author[*].sequence,0.15879
crossref1_(551MB),rq-lut-cutoff-0,9,$.items[*].author[*].sequence,0.20163
crossref1_(551MB),rq-lut-cutoff-512,9,$.items[*].author[*].sequence,0.15476
crossref1_(551MB),SERDE,10,$.items[*].author[*],0.05339
crossref1_(551MB),rq-legacy,10,$.items[*].author[*],0.16596
crossref1_(551MB),rq-lut-cutoff-0,10,$.items[*].author[*],0.18970
crossref1_(551MB),rq-lut-cutoff-512,10,$.items[*].author[*],0.16116
crossref1_(551MB),SERDE,11,$.items[*].institution[*].name,0.04487
crossref1_(551MB),rq-legacy,11,$.items[*].institution[*].name,0.16084
